indicator,type,description,Msbom,Mnetwork,Mmetadata,Score,Decision
26/60,text,,0,0,0,0.0,Filter
26/59,text,,0,0,0,0.0,Filter
34/60,text,,0,0,0,0.0,Filter
25/60,text,,0,0,0,0.0,Filter
30/58,text,,0,0,0,0.0,Filter
20/59,text,,0,0,0,0.0,Filter
35/60,text,,0,0,0,0.0,Filter
"Weâ€TMve identified a number of spear phishing campaigns with Pakistani themed documents, likely targeting the region. These spear phishing emails use a mix of different openly available malware and document exploits for delivery. These are served from the compromised domains www.serrurier-secours[.]be and careers.fwo.com[.]pk (a part of the Pakistani army). There are some clear trends in the themes of the decoy documents the attackers chose to include with file names such as:",text,,0,1,0,0.3,Filter
ET INFO EXE IsDebuggerPresent (Used in Malware Anti-Debugging),text,,0,0,0,0.0,Filter
ET POLICY PE EXE or DLL Windows file download HTTP,text,,0,0,0,0.0,Filter
ETPRO TROJAN MSIL/Revenge-RAT CnC Checkin,text,,0,0,0,0.0,Filter
ETPRO TROJAN Fareit/Pony Variant CnC Beacon,text,,0,0,0,0.0,Filter
ETPRO TROJAN Fareit/Pony Downloader CnC response,text,,0,0,0,0.0,Filter
ETPRO TROJAN Netwire RAT Check-in,text,,0,0,0,0.0,Filter
ETPRO TROJAN NetWire Variant,text,,0,0,0,0.0,Filter
ETPRO TROJAN NetWireRAT Keep-Alive,text,,0,0,0,0.0,Filter
"{



   meta:



   description = ""Pakistani Atomic Energy Commission Spearphishing dropped DLL""



   author = ""Jose M Martin""



   date = ""2018/07/10""



   hash = ""027e4c6c51e315f0e49f3644af08479303a747ed55ecba5aa0ae75c27cd6efeb""



   strings:



   $s1 = ""ExploitTagMenuState start"" fullword ascii



   $s2 = ""ExploitTagMenuState end"" fullword ascii



   $s3 = ""DonorThread start"" fullword ascii



   $s4 = ""EscalateThread start"" fullword ascii



   $s5 = ""EscalatePrivilegesOld start"" fullword ascii



   $s6 = ""EscalatePrivilegesWow"" fullword ascii



   condition:



uint16(0) == 0x5A4D and filesize < 30KB and (any of them)



}",yara,,0,1,0,0.3,Filter
CVE-2014-0160,vulnerability,,0,0,0,0.0,Filter
9/62,text,,0,0,0,0.0,Filter
28/67,text,,0,0,0,0.0,Filter
39/66,text,,0,0,0,0.0,Filter
11/68,text,,0,0,0,0.0,Filter
0/59,text,,0,0,0,0.0,Filter
24/66,text,,0,0,0,0.0,Filter
54/68,text,,0,0,0,0.0,Filter
59/68,text,,0,0,0,0.0,Filter
25/66,text,,0,0,0,0.0,Filter
40/61,text,,0,0,0,0.0,Filter
53/67,text,,0,0,0,0.0,Filter
23/65,text,,0,0,0,0.0,Filter
20/61,text,,0,0,0,0.0,Filter
15/66,text,,0,0,0,0.0,Filter
"import ""pe""



rule RMS_winspooldrv_dllhijack {

meta:

description = ""winspool.drv malicious file used in RMS RAT""

hash = ""5a6efa2921d3174bb9808fa3a3400d13""  

hash

= ""bb188e1e92e2be8a1ff009fe22f58f7f""  

version = ""1.1""    

strings:

$a1= ""Password.rcfg"" fullword

$a2 = ""Password.rcfg"" wide fullword

$b1= ""winspool.drv"" fullword

$b2= ""killrms"" wide fullword

condition:

uint16(0) == 0x5A4D

and

any of ($a*)

and all of ($b*)

and filesize < 100000 

}",yara,,0,1,0,0.3,Filter
"rule TeamViewer_msimg32_dllhijack {

meta:

description = ""msimg32.dll malicious file used in TeamViewer""

hash = ""16b4ebfdf74db8f730f2fb4d03e86d27""

hash = ""8c4e9016b9b4db809dd312f971a275b

1""

version = ""1.1""    

strings:

$a1=""msimg32.dll"" fullword

condition:

uint16(0) == 0x5A4D

and any of ($a*)

and pe.exports(""SvcMain"")

and pe.number_of_exports >6

and filesize > 50000 

and filesize < 200000 

}",yara,,0,1,0,0.3,Filter
Backdoor.Win32.Agent,text,,0,0,0,0.0,Filter
Backdoor.Win32.RA-based,text,,0,0,0,0.0,Filter
Trojan.Win32.Waldek,text,,0,0,0,0.0,Filter
Trojan.Win32.Dllhijack,text,,0,0,0,0.0,Filter
Trojan.BAT.Starter,text,,0,0,0,0.0,Filter
"Kaspersky Lab ICS CERT has identified a new wave of phishing emails with malicious attachments targeting primarily companies and organizations that are, in one way or another, associated with industrial production.



The phishing emails are disguised as legitimate commercial offers and are sent mainly to industrial companies located in Russia. The content of each email reflects the activity of the organization under attack and the type of work performed by the employee to whom the email is sent.



According to the data that we have collected, this series of attacks started in November 2017 and is currently in progress. Notably, the first similar attacks were recorded as far back as 2015.



The malware used in these attacks installs legitimate remote administration software â€“ TeamViewer or Remote Manipulator System/Remote Utilities (RMS). This enables the attackers to gain remote control of infected systems. The threat actor uses various techniques to mask the infection and the activity of malware installed in the system.



According to the data available, the attackersâ€TM main goal is to steal money from victim organizationsâ€TM accounts. When attackers connect to a victimâ€TMs computer, they search for and analyze purchase documents, as well as the financial and accounting software used. After that, the attackers look for various ways in which they can commit financial fraud, such as spoofing the bank details used to make payments.



In cases where the cybercriminals need additional data or capabilities after infecting a system, such as privilege escalation and obtaining local administrator privileges, the theft of user authentication data for financial software and services, or Windows accounts for lateral movement, the attackers download an additional pack of malware to the system, which is specifically tailored to the attack on each individual victim. The malware pack can include spyware, additional remote administration utilities that extend the attackersâ€TM control on infected systems, malware for exploiting operating system and application software vulnerabilities, as well as the Mimikatz utility, which provides the attackers with Windows account data.



Apparently, among other methods, the attackers obtain the information they need to perpetrate their criminal activity by analyzing the correspondence of employees at the enterprises attacked. They may also use the information found in these emails to prepare new attacks â€“ against companies that partner with the current victim.



Clearly, on top of the financial losses, these attacks result in leaks of the victim organizationsâ€TM sensitive data.",text,,0,1,0,0.3,Filter
0/68,text,,0,0,0,0.0,Filter
COBALT,text,Cert-IST Attack name,0,0,0,0.0,Filter
61/68,text,,0,0,0,0.0,Filter
36/59,text,,0,0,0,0.0,Filter
46/66,text,,0,0,0,0.0,Filter
exe,text,,0,0,0,0.0,Filter
CVE-2018-8174,vulnerability,,0,0,0,0.0,Filter
CVE-2017-8570,vulnerability,,0,0,0,0.0,Filter
dll,text,,0,0,0,0.0,Filter
0/67,text,,0,0,0,0.0,Filter
"After our investigation of APT SideWinder, weâ€TMve done a yara rule for hunting RTF document exploiting the CVE-2017â€“11882.



We found a document written in Vietnamese dealing with a summary about differents projects in the district Háo£i ChÃ¢u of ÄÃ  Náoμng.",text,,0,0,0,0.0,Filter
"The Kronos banking Trojan was first discovered in 2014 and was a steady fixture in the threat landscape for a few years before largely disappearing. Now a new variant has appeared, with at least three distinct campaigns targeting Germany, Japan, and Poland respectively, to date.



In April 2018, the first samples of a new variant of the banking Trojan appeared in the wild. The most notable new feature is that the command and control (C&C) mechanism has been refactored to use the Tor anonymizing network. There is some speculation and circumstantial evidence suggesting that this new version of Kronos has been rebranded â€œOsirisâ€ and is being sold on underground markets. In this blog, we present information on the German, Japanese, and Polish campaigns as well as a fourth campaign that looks to be a work in progress and still being tested.",text,,0,1,0,0.3,Filter
"Banking Trojans continue to evolve and threat actors are using them in new ways, even as the massive Dridex campaigns of 2015 have given way to ransomware and other payloads. Most recently, we observed several relatively large email campaigns distributing the Kronos banking Trojan. In these campaigns, though, Kronos acted as a loader with a new Point-of-Sale (POS) malware dubbed ScanPOS as the secondary payload.",text,,0,0,0,0.0,Filter
36/58,text,,0,0,0,0.0,Filter
17/58,text,,0,0,0,0.0,Filter
"Symantec has uncovered the operations of a threat actor named Leafminer that is targeting a broad list of government organizations and business verticals in various regions in the Middle East since at least early 2017. The group tends to adapt publicly available techniques and tools for their attacks and experiments with published proof-of-concept exploits. Leafminer attempts to infiltrate target networks through various means of intrusion: watering hole websites, vulnerability scans of network services on the internet, and brute-force/dictionary login attempts. The actorâ€TMs post-compromise toolkit suggests that the group is looking for email data, files, and database servers on compromised target systems.",text,,1,1,1,1.0,Push
"Over the last few weeks, the Check Point Threat Intelligence Team discovered the comeback of an APT surveillance attack against institutions across the Middle East, specifically the Palestinian Authority.



The attack begins with a phishing email sent to targets that includes an attachment of a self-extracting archive containing two files: a Word document and a malicious executable. Posing to be from the Palestinian Political and National Guidance Commission, the Word document serves as a decoy, distracting victims while the malware is installed in the background.



The malware has several modules, some of which are:



    Taking a screenshot of the infected machine and sending it to the C&C server.

    Sending a list of documents with file extensions including .doc, .odt, .xls, .ppt, .pdf and more.

    Logging details about the system.

    Rebooting the system.

    Self-destructing the executable.



While it is not clear exactly what the attacker is looking for, what is clear is that once he finds it, a second stage of the attack awaits, fetching additional modules and/or malware from the Command and Control server. This then is a surveillance attack in progress and has been dubbed â€ ̃Big Bangâ€TM due to the attackerâ€TMs fondness for the â€ ̃Big Bang Theoryâ€TM TV show, after which some of the malwareâ€TMs modules are named.



A previous campaign of this APT group was uncovered by Talos in June 2017, and since then very little of this operation was seen in the wild. The Big Bang campaign described below incorporates improved capabilities and offensive infrastructure, and seems to be even more targeted.",text,,1,1,0,0.9,Push
"Exploit kits may be down, but theyâ€TMre not out. While theyâ€TMre still using the same techniques that involve malvertisements or embedding links in spam and malicious or compromised websites, their latest activities are making them significant factors in the threat landscape again. This is the case with Rig and GrandSoft, as well as the private exploit kit Magnitude â€” exploit kits we found roping in relatively recent vulnerabilities to deliver cryptocurrency-mining malware, ransomware, botnet loaders, and banking trojans.



Based on the exploit kitsâ€TM latest activities, it appears they and their users are shifting tactics by joining the bandwagon, like capitalizing on cryptocurrencyâ€TMs popularity or using off-the-rack malware. We expect this to be the status quo this year, given the profitability of using cryptocurrency miners and the convenience of using ready-made malware. We also foresee more exploits that work on other software, such as  CVE-2018-8174, which can be exploited via Microsoft Word and Internet Explorer.",text,,0,0,0,0.0,Filter
hxxp://thectrl24[.]com/gjOGw/,text,,0,0,0,0.0,Filter
hxxp://www.sandearth[.]com/Client/Invoice-955175372-062618/,text,,0,0,0,0.0,Filter
@RecordedFuture,text,,0,0,0,0.0,Filter
"Based on links to #malware used by Chinese APTs, our research team makes assessments about who exactly is behind the newly discovered RedAlpha campaigns: (link: http://bit.ly/2KaCeS0) bit.ly/2KaCeS0 #Analysis",text,,0,0,0,0.0,Filter
"Scope Note: Recorded Future analyzed new malware targeting the Tibetan community. This report includes a detailed analysis of the malware itself and associated infrastructure. Sources include Recorded Futureâ€TMs platform, VirusTotal, ReversingLabs, and third-party metadata, as well as common OSINT and network metadata enrichments, such as DomainTools Iris and PassiveTotal, and researcher collaboration.1 The impetus of this research is twofold: to provide indicators to leverage for protection for likely victims and to raise awareness of a possible shift in adversary TTPs.",text,,0,1,0,0.3,Filter
"Throughout 2017 and 2018 Unit 42 has been tracking and observing a series of highly targeted attacks focused in South East Asia, building on our research into the KHRAT Trojan. Based on the evidence, these attacks appear to be conducted by the same set of attackers using previously unknown malware families. In addition, these attacks appear to be highly targeted in their distribution of the malware used, as well as the targets chosen. Based on these factors, Unit 42 believes the attackers behind these attacks are conducting their campaigns for espionage purposes.



We believe this group is previously unidentified and therefore have we have dubbed it â€œRANCORâ€. The Rancor groupâ€TMs attacks use two primary malware families which we describe in depth later in this blog and are naming DDKONG and PLAINTEE. DDKONG is used throughout the campaign and PLAINTEE appears to be new addition to these attackersâ€TM toolkit.  Countries Unit 42 has identified as targeted by Rancor with these malware families include, but are not limited to:



    Singapore

    Cambodia



We identified decoy files which indicate these attacks began with spear phishing messages but have not observed the actual messages. These decoys contain details from public news articles focused primarily on political news and events. Based on this, we believe the Rancor attackers were targeting political entities.  Additionally, these decoy documents are hosted on legitimate websites including a government website belonging to the Cambodia Government and in at least once case, Facebook.



The malware and infrastructure used in these attacks falls into two distinct clusters, which we are labeling A and B, that are linked through their use of the PLAINTEE malware and several â€œsofterâ€ linkages.",text,,0,0,0,0.0,Filter
"Tick is a cyberespionage group primarily targeting organizations in Japan and the Republic of Korea. The group is known to conduct attack campaigns with various custom malware such as Minzen, Datper, Nioupale (aka Daserf), and HomamDownloader. Unit 42 last wrote about the Tick group in July 2017.



Recently, Palo Alto Networks Unit 42 discovered the Tick group targeted a specific type of secure USB drive created by a South Korean defense company. The USB drive and its management system have various features to follow security guidelines in South Korea.



The weaponization of a secure USB drive is an uncommon attack technique and likely done in an effort to spread to air-gapped systems, which are systems that do not connect to the public internet. In addition, our research shows that the malware used in these attacks will only try to infect systems running Microsoft Windows XP or Windows Server 2003. This is despite the fact that the malware appears to have been created when newer versions of Windows software were available. This would seem to indicate an intentional targeting of older, out-of-support versions of Microsoft Windows installed on systems with no internet connectivity. Air-gapped systems are common practice in many countries for government, military, and defense contractors, as well as other industry verticals.



We have not identified any public reporting on this attack, and we suspect the Tick group used the malware described in this report in attacks multiple years ago. Based on the data collected, we do not believe this malware is part of any active threat campaign.



Our picture of this past attack is incomplete at this time. Based on our research thus far, we are able to sketch out the following hypothesized attack scenario:



    The Tick Group somehow compromised a secure type of USB drive and loaded a malicious file onto an unknown number of them. These USB drives are supposed to be certified as secure by the South Korean ITSCC (English).

    The Tick Group created a specific malware we are calling SymonLoader that somehow gets on older Windows systems and continuously looks for these specific USB drives.

    SymonLoader specifically targets Windows XP and Windows Server 2003 systems ONLY.

    If SymonLoader detects the presence of a specific type of secure USB drive, it will attempt to load the unknown malicious file using APIs that directly access the file system.



In the research below, we outline our findings around SymonLoader. We do not currently have either a compromised USB drive nor the unknown malicious file we believe is implanted on these devices. Because of this we are unable to describe the full attack sequence.



Because we do not have either a compromised USB drive or the unknown malicious file, we are also unable to determine how these USB drives have been compromised. Specifically, we do not know if there has been a successful compromise in the supply-chain making these devices, or if these have been compromised post-manufacturing and distributed using other means such as social engineering.",text,,1,1,0,0.9,Push
"Olympic Destroyer, the malware that hit Pyeongchang 2018 Winter Olympics, is still alive and infecting new victims, according to a report published earlier today by Russian antivirus vendor Kaspersky Labs.



The company's security researchers say they've detected Olympic Destroyer infections across Europe in May and June 2018.



New victims include financial organizations in Russia, and biological and chemical threat prevention laboratories in Europe and Ukraine.",text,,0,0,0,0.0,Filter
"The authors of the Satan ransomware have rebranded their ""product"" and they now go by the name of DBGer ransomware, according to security researcher MalwareHunter, who spotted this new version earlier today.



The change was not only in name but also in the ransomware's modus operandi. According to the researcher, whose discovery was later confirmed by an Intezer code similarity analysis, the new (Satan) DBGer ransomware now also incorporates Mimikatz, an open-source password-dumping utility.



The purpose of DBGer incorporating Mimikatz is for lateral movement inside compromised networks. This fits a recently observed trend in Satan's modus operandi.",text,,0,1,0,0.3,Filter
S!Ri found a new ransomware called Donut that appends the .donut extension and uses the email donutmmm@tutanota.com.,text,,0,0,0,0.0,Filter
@siri_urz,text,,0,0,0,0.0,Filter
#Ransomware Donut E76ECA2F7D0450C84417A8AC242B424C .donut donutmmm@tutanota.com,text,,0,0,0,0.0,Filter
ETH,text,,0,0,0,0.0,Filter
"A malware campaign spreading a clipboard hijacker has infected over 300,000 computers, according to Chinese security firm Qihoo 360 Total Security.



The campaign has been raging for the past week and has spread a malware which Qihoo researchers have named ClipboardWalletHijacker.",text,,0,1,0,0.3,Filter
"(from CIRCL)

STIX import of https://www.us-cert.gov/sites/default/files/publications/MAR-10135536-12_WHITE_stix.xml with additional expansions and information from the website (as the STIX original file is not including the meta-data).",text,,0,0,0,0.0,Filter
"This Malware Analysis Report (MAR) is the result of analytic efforts between the Department of Homeland Security (DHS) and the Federal Bureau of Investigation (FBI). Working with U.S. Government partners, DHS and FBI identified Trojan malware variants used by the North Korean government. This malware variant is known as TYPEFRAME. The U.S. Government refers to malicious cyber activity by the North Korean government as HIDDEN COBRA. For more information on HIDDEN COBRA activity, visit https://www.us-cert.gov/hiddencobra.



DHS and FBI are distributing this MAR to enable network defense and reduce exposure to North Korean government malicious cyber activity.



This MAR includes malware descriptions related to HIDDEN COBRA, suggested response actions and recommended mitigation techniques. Users and administrators should flag activity associated with the malware, report the activity to the DHS National Cybersecurity and Communications Integration Center (NCCIC) or the FBI Cyber Watch (CyWatch), and give the activity the highest priority for enhanced mitigation.



This malware report contains analysis of 11 malware samples consisting of 32-bit and 64-bit Windows executable files and a malicious Microsoft Word document that contains Visual Basic for Applications (VBA) macros. These files have the capability to download and install malware, install proxy and Remote Access Trojans (RATs), connect to command and control (C2) servers to receive additional instructions, and modify the victim's firewall to allow incoming connections.",text,,1,1,0,0.9,Push
TROJ_KILLDISK.IUE,text,,0,0,0,0.0,Filter
TROJ_KILLMBR.EE,text,,0,0,0,0.0,Filter
"There are three ways of doing things in the malware business: the right way, the wrong way and the way Brazilians do it. From the early beginnings, using skimmers on ATMs, compromising point of sales systems, or even modifying the hardware of processing devices, Latin America has been a fertile ground for collecting credit and debit cards en masse.



Brazil started the migration to EMV cards in 1999 and nowadays almost all cards issued in the country are chip-enabled. A small Java-based application lives inside this chip and can be easily manipulated in order to create a â€œgolden ticketâ€ card that will be valid in most (if not all) point of sale systems. Having this knowledge has enabled the criminals to update their activities, allowing them to create their own cards featuring this new technology and keeping them â€œin the business.â€



Enter the world of Brazilian malware development, incorporating every trick in the book and adding a custom made malware that can easily collect data from chip and PIN protected cards; all while offering a nicely designed interface for administering the ill-gotten information, validating numbers, and offering their â€œcustomersâ€ an easy to use package to burn their cloned card.",text,,0,1,0,0.3,Filter
Win64/InvisiMole.D,text,,0,0,0,0.0,Filter
Win64/InvisiMole.C,text,,0,0,0,0.0,Filter
Win64/InvisiMole.B,text,,0,0,0,0.0,Filter
Win32/InvisiMole.D,text,,0,0,0,0.0,Filter
Win32/InvisiMole.C,text,,0,0,0,0.0,Filter
Win32/InvisiMole.B,text,,0,0,0,0.0,Filter
Win32/InvisiMole.A,text,,0,0,0,0.0,Filter
"This is the modus operandi of the two malicious components of InvisiMole. They turn the affected computer into a video camera, letting the attackers see and hear whatâ€TMs going on in the victimâ€TMs office or wherever their device may be. Uninvited, InvisiMoleâ€TMs operators access the system, closely monitoring the victimâ€TMs activities and stealing the victimâ€TMs secrets.



Our telemetry indicates that the malicious actors behind this malware have been active at least since 2013, yet the cyber-espionage tool was never analyzed nor detected until discovered by ESET products on compromised computers in Ukraine and Russia.



The campaign is highly targeted â€“ no wonder the malware has a low infection ratio, with only a few dozen computers being affected.



InvisiMole has a modular architecture, starting its journey with a wrapper DLL, and performing its activities using two other modules that are embedded in its resources. Both of the modules are feature-rich backdoors, which together give it the ability to gather as much information about the target as possible.



Extra measures are taken to avoid attracting the attention of the compromised user, enabling the malware to reside on the system for a longer period of time. How the spyware was spread to the infected machines is yet to be determined by further investigation. All infection vectors are possible, including installation facilitated by physical access to the machine.",text,,0,0,0,0.0,Filter
"In a past article, we introduced TSCookie, malware which seems to be used by BlackTech[1]. It has been revealed that this actor also uses another type of malware â€œPLEADâ€. (â€œPLEADâ€ is referred to both as a name of malware including TSCookie and its attack campaign [2]. In this article, we refer to â€œPLEADâ€ as a type malware apart from TSCookie.) PLEAD has two kinds â€“ RAT (Remote Access Tool) and downloader. The RAT operates based on commands that are provided from C&C servers.ã€€(Please refer to a blog post from LAC for more information [3].) On the other hand, PLEAD downloader downloads modules and runs it on memory in the same way as TSCookie does.



This article presents behaviour of PLEAD downloader in detail.",text,,1,1,0,0.9,Push
@jpcert_en,text,,0,0,0,0.0,Filter
New Blog Post: PLEAD Downloader Used by BlackTech ^ST,text,,0,0,0,0.0,Filter
"The author of the Sigrun Ransomware is providing decryption for Russian victims for free, while asking for a ransom payment of $2,500 in Bitcoin or Dash for everyone else. It is not uncommon for Russian ransomware developers to purposely avoid targeting Russian citizens and to outwardly help such victims for free.",text,,0,0,0,0.0,Filter
"Today MalwareHunterTeam discovered a new variant of the Cryptomix Ransomware that appends the .BACKUP extension to encrypted files, changes the contact email, and slightly changes the ransom note's name.



In this article I will provide a brief summary of any changes that have occurred in this new variant.  As we are always looking for weaknesses, if you are a victim of this variant and decide to pay the ransom, please send us the decryptor so we can take a look at it. You can also discuss or receive support for Cryptomix ransomware infections in our dedicated Cryptomix Help & Support Topic.",text,,0,0,0,0.0,Filter
Possibly related to Easy Auto Refresh Chrome Extension.,text,,0,0,0,0.0,Filter
df7972bcdbf00300afcc3c9d8ea8e153efda87f8,x509-fingerprint-sha1,,0,0,0,0.0,Filter
"Loki, POSTs out to hxxp://floxblog[.]ru/23=dseszxa09/uesew/ox/za/fre.php",text,,0,0,0,0.0,Filter
ETPRO TROJAN FormBook CnC Checkin (POST),text,93.157.63.185: Enriched via the iprep module,0,1,0,0.3,Filter
asn: 43350;categories: ['botnet'];first_seen_at: 2018-05-03;last_seen_at: 2018-06-01;ip: 93.157.63.185;cc: NL;feed: zeus_ip_blocklist_std;cidr: 93.157.62.0/23;rir: RI,text,93.157.63.185: Enriched via the iprep module,0,1,0,0.3,Filter
"According to DHS and FBI analysis, this is a Portable Executable 32-bit (PE32) file that can be used to drop and install other malware on the compromised host.",text,,0,0,0,0.0,Filter
"According to DHS and FBI analysis, this file is a malicious 32-bit Windows Dynamic Link Library (DLL), dropped and loaded by [MD5: 4731CBAEE7ACA37B596E38690160A749]. When executed, the DLL attempts to contact all of the Internet Protocol (IP) addresses on the victim's local subnet. If the file is able to connect to these IPs, it will attempt to gain unauthorized access via the Server Message Block (SMB) protocol on port 445 utilizing a brute-force password attack.",text,,1,1,1,1.0,Push
"According to DHS and FBI analysis, this is a malicious Portable Executable 32-bit (PE32) file designed to scan the local network and the internet for machines that are accessible and have open Server Message Block (SMB) ports. Once the malware gains access to a remote machine it will deliver a malicious payload.",text,,1,1,0,0.9,Push
"According to DHS and FBI analysis, this Dynamic Link Library (DLL) is a Remote Access Tool (RAT) capable of providing an array of remote command and control capabilities. It has the ability to exfiltrate data, drop and run secondary payloads, and provide proxy capabilities on a compromised Windows device. The malware binds and listens on port 443 for incoming connections from a remote operator.",text,,0,0,0,0.0,Filter
"PE32 executable (GUI) Intel 80386, for MS Windows",text,,0,0,0,0.0,Filter
deupx|39e762098466d4694d0bdc78aa2063c3,malware-sample,,0,0,0,0.0,Filter
"PE32 executable (GUI) Intel 80386, for MS Windows, UPX compressed",text,,0,0,0,0.0,Filter
dump|f846b2cfa37a5b5e9ea1208b597796fa,malware-sample,,0,0,0,0.0,Filter
d5dec646c957305d91303a1d7931b30e7fb2f38d54a1102e14fd7a4b9f6e0806,x509-fingerprint-sha256,,0,0,0,0.0,Filter
8f1d0cd5dd6585c3d5d478e18a85e7109c8a88489c46987621e01d21fab5095d,x509-fingerprint-sha256,,0,0,0,0.0,Filter
044bfa11ea91b5559f7502c3a504b19ee3c555e95907a98508825b4aa56294e4,x509-fingerprint-sha256,,0,0,0,0.0,Filter
909cf80d3ef4c52abc95d286df8d218462739889b6be4762a1d2fac1adb2ec2b,x509-fingerprint-sha256,,0,0,0,0.0,Filter
110da84f31e7868ad741bcb0d9f7771a0bb39c44785055e6da0ecc393598adc8,x509-fingerprint-sha256,,0,0,0,0.0,Filter
cd75d3a70e3218688bdd23a0f618add964603736f7c899265b1d8386b9902526,x509-fingerprint-sha256,,0,0,0,0.0,Filter
b25336c2dd388459dec37fa8d0467cf2ac3c81a272176128338a2c1d7c083c78,x509-fingerprint-sha256,,0,0,0,0.0,Filter
fb47ba27dceea486aab7a0f8ec5674332ca1f6af962a1724df89d658d470348f,x509-fingerprint-sha256,,0,0,0,0.0,Filter
27af4b890db1a611d0054d5d4a7d9a36c9f52dffeb67a053be9ea03a495a9302,x509-fingerprint-sha256,,0,0,0,0.0,Filter
be4715b029cbd3f8e2f37bc525005b2cb9cad977117a26fac94339a721e3f2a5,x509-fingerprint-sha256,,0,0,0,0.0,Filter
f372ebe8277b78d50c5600d0e2af3fe29b1e04b5435a7149f04edd165743c16d,x509-fingerprint-sha256,,0,0,0,0.0,Filter
c52b3901a26df1680acbfb9e6184b321f0b22dd6c4bb107e5e071553d375c851,x509-fingerprint-sha256,,0,0,0,0.0,Filter
d113ce61ab1e4bfcb32fb3c53bd3cdeee81108d02d3886f6e2286e0b6a006747,x509-fingerprint-sha256,,0,0,0,0.0,Filter
c0f8bde03df3dec6e43b327378777ebc35d9ea8cfe39628f79f20b1c40c1b412,x509-fingerprint-sha256,,0,0,0,0.0,Filter
Emotet,text,Emotet,0,0,0,0.0,Filter
CVE-2018-8120,vulnerability,,0,0,0,0.0,Filter
CVE-2018-4990,vulnerability,,0,0,0,0.0,Filter
"Late in March 2018, ESET researchers identified an interesting malicious PDF sample. A closer look revealed that the sample exploits two previously unknown vulnerabilities: a remote-code execution vulnerability in Adobe Reader and a privilege escalation vulnerability in Microsoft Windows.



The use of the combined vulnerabilities is extremely powerful, as it allows an attacker to execute arbitrary code with the highest possible privileges on the vulnerable target, and with only the most minimal of user interaction. APT groups regularly use such combinations to perform their attacks, such as in the Sednit campaign from last year.



Once the PDF sample was discovered, ESET contacted and worked together with the Microsoft Security Response Center, Windows Defender ATP research team, and Adobe Product Security Incident Response Team as they fixed these bugs.",text,,0,0,0,0.0,Filter
"Security researchers are reporting that malicious Android apps they have detected and reported to Google the first time, have slipped back into the Play Store after changing their name.



Seven of these apps have been ""rediscovered,"" said Symantec in a report published yesterday. The company's experts say the author of the original malicious apps didn't do anything special, but only changed the app's names, without making modifications to the code, and re-uploaded the apps on the Play Store from a new developer account under a new name.",text,,0,1,0,0.3,Filter
0/52,text,,0,0,0,0.0,Filter
0/60,text,,0,0,0,0.0,Filter
CVE-2018-10562,vulnerability,,0,0,0,0.0,Filter
CVE-2018-10561,vulnerability,,0,0,0,0.0,Filter
31/60,text,,0,0,0,0.0,Filter
37/59,text,,0,0,0,0.0,Filter
38/59,text,,0,0,0,0.0,Filter
"Cisco Talos discovered a new malicious campaign from the well known actor Group 74 (aka Tsar Team, Sofacy, APT28, Fancy Bearâ€¦). Ironically the decoy document is a deceptive flyer relating to the Cyber Conflict U.S. conference. CyCon US is a collaborative effort between the Army Cyber Institute at the United States Military Academy and the NATO Cooperative Cyber Military Academy and the NATO Cooperative Cyber Defence Centre of Excellence. Due to the nature of this document, we assume that this campaign targets people with an interest in cyber security. Unlike previous campaigns from this actor, the flyer does not contain an Office exploit or a 0-day, it simply contains a malicious Visual Basic for Applications (VBA) macro.",text,,0,0,0,0.0,Filter
"In our quest to track criminals and expose their misconduct, we regularly monitor the threat actor that goes by the name APT28, Fancy Bear, STRONTIUM, Pawn Storm, Sednit. Granted some of these names are toolsets used by the criminals a name for a group. If tomorrow, theyâ€TMd come to use different toolsets these names would have no real meaning. Iâ€TMd prefer to use the term APT28 because it is easier than making up ours, and there are enough already. Sofacy/Sednit are the toolsets used by APT28 among others such as XAgent.",text,,0,0,0,0.0,Filter
8/65,text,Clean samples,0,0,0,0.0,Filter
12/66,text,Clean samples,0,0,0,0.0,Filter
"rule ComputraceAgent

{

 meta:

     description = ""Absolute Computrace Agent Executable""

     thread_level = 3

     in_the_wild = true

 strings:

     $a = {D1 E0 F5 8B 4D 0C 83 D1 00 8B EC FF 33 83 C3 04}

     $mz = {4d 5a}

     $b1 = {72 70 63 6E 65 74 70 2E 65 78 65 00 72 70 63 6E 65 74 70 00}

     $b2 = {54 61 67 49 64 00}

 condition:

     ($mz at 0 ) and ($a or ($b1 and $b2))

}",yara,,0,1,0,0.3,Filter
"ASERT recently discovered Lojack agents containing malicious C2s. These hijacked agents pointed to suspected Fancy Bear (a.k.a. APT28, Pawn Storm) domains.  The InfoSec community and the U.S. government have both attributed Fancy Bear activity to Russian espionage activity.  Fancy Bear actors typically choose geopolitical targets, such as governments and international organizations. They also target industries that do business with such organizations, such as defense contractors.  Lojack, formally known as Computrace, is a legitimate laptop recovery solution used by a number of companies to protect their assets should they be stolen.  Lojack makes an excellent double-agent due to appearing as legit software while natively allowing remote code execution. Although the initial intrusion vector for this activity remains unknown, Fancy Bear often utilizes phishing email to deliver payloads.",text,,0,1,0,0.3,Filter
"GandCrab version 3 was released earlier this week with a few noticeable changes. The most noticeable change is the addition of a desktop background.



Unfortunately, at this time GandCrab 3 cannot be decrypted for free.",text,,0,0,0,0.0,Filter
10/62,text,,0,0,0,0.0,Filter
